"","x"
"1",-0.757416667
"2",-0.5115
"3",-0.551083333
"4",-0.560416667
"5",-0.676416667
"6",-0.946
"7",-0.872166667
"8",-0.906583333
"9",-0.524916667
"10",-0.353416667
"11",-0.162666667
"12",0.069166667
"13",-0.421583333
"14",-0.3915
"15",-0.460666667
"16",-0.290666667
"17",-0.539333333
"18",-0.80125
"19",-0.90925
"20",-0.878916667
"21",-0.437583333
"22",-0.282166667
"23",-0.329416667
"24",-0.632333333
"25",-0.641916667
"26",-0.528
"27",-0.598333333
"28",-0.593083333
"29",-0.755916667
"30",-0.981583333
"31",-1.100166667
"32",-1.044583333
"33",-0.658166667
"34",-0.605833333
"35",-0.629
"36",-0.835
"37",-0.823583333
"38",-0.736416667
"39",-0.80575
"40",-0.758666667
"41",-0.8055
"42",-0.948833333
"43",-0.992
"44",-0.981
"45",-0.473833333
"46",-0.450666667
"47",-0.519666667
"48",-0.748083333
"49",-0.683916667
"50",-0.50975
"51",-0.560916667
"52",-0.4405
"53",-0.598666667
"54",-0.766583333
"55",-0.766333333
"56",-0.80425
"57",-0.186416667
"58",-0.206916667
"59",-0.26825
"60",-0.491583333
"61",-0.410333333
"62",-0.125833333
"63",-0.17125
"64",-0.1565
"65",-0.372916667
"66",-0.540166667
"67",-0.650583333
"68",-0.587666667
"69",0.033166667
"70",0.137166667
"71",0.03325
"72",-0.281333333
"73",-0.23875
"74",0.041583333
"75",0.072666667
"76",0.112333333
"77",-0.104166667
"78",-0.4695
"79",-0.629666667
"80",-0.576833333
"81",0.2015
"82",0.187833333
"83",0.083333333
"84",-0.226333333
"85",0.243333333
"86",0.468583333
"87",0.422166667
"88",0.381166667
"89",0.193583333
"90",-0.174833333
"91",-0.268333333
"92",-0.237
"93",0.629083333
"94",0.658
"95",0.5425
"96",0.080333333
"97",0.294916667
"98",0.649
"99",0.4755
"100",0.653333333
"101",0.380083333
"102",-0.07475
"103",-0.080916667
"104",0.068166667
"105",1.524166667
"106",1.1105
"107",0.760916667
"108",0.322083333
"109",0.607916667
"110",0.990916667
"111",1.030166667
"112",1.010333333
"113",0.520833333
"114",0.020583333
"115",-0.10925
"116",0.028333333
"117",1.334666667
"118",1.359583333
"119",0.991666667
"120",0.56075
"121",0.814
"122",1.2875
"123",1.121083333
"124",1.237666667
"125",0.783416667
"126",0.20625
"127",0.116666667
"128",0.170166667
"129",1.521333333
"130",1.506416667
"131",1.135416667
"132",0.7515
"133",0.92775
"134",1.373083333
"135",1.284666667
"136",1.358416667
"137",0.903583333
"138",0.39075
"139",0.217166667
"140",0.33125
"141",1.751666667
"142",1.765083333
"143",1.462166667
"144",0.951833333
